trade_id,market_id,signal_time,exec_time,delay_min,slippage_pct,mid_price,exec_price,notional,fee,outcome,pnl
1,MKT-1,2026-02-19T11:55:53.658423,2026-02-19T12:00:53.658423,5,0.5,0.6255,0.6286,100.0,0.5,1,-0.5
2,MKT-1,2026-02-19T11:55:53.658423,2026-02-19T12:00:53.658423,5,1.0,0.6255,0.6318,100.0,0.5,1,-0.5
3,MKT-1,2026-02-19T11:55:53.658423,2026-02-19T12:00:53.658423,5,2.0,0.6255,0.638,100.0,0.5,1,-0.5
4,MKT-1,2026-02-19T11:55:53.658423,2026-02-19T12:10:53.658423,15,0.5,0.6255,0.6286,100.0,0.5,0,-100.5
5,MKT-1,2026-02-19T11:55:53.658423,2026-02-19T12:10:53.658423,15,1.0,0.6255,0.6318,100.0,0.5,0,-100.5
6,MKT-1,2026-02-19T11:55:53.658423,2026-02-19T12:10:53.658423,15,2.0,0.6255,0.638,100.0,0.5,0,-100.5
7,MKT-1,2026-02-19T11:55:53.658423,2026-02-19T12:25:53.658423,30,0.5,0.6255,0.6286,100.0,0.5,1,-0.5
8,MKT-1,2026-02-19T11:55:53.658423,2026-02-19T12:25:53.658423,30,1.0,0.6255,0.6318,100.0,0.5,1,-0.5
9,MKT-1,2026-02-19T11:55:53.658423,2026-02-19T12:25:53.658423,30,2.0,0.6255,0.638,100.0,0.5,1,-0.5
10,MKT-2,2026-02-19T11:55:53.658575,2026-02-19T12:00:53.658575,5,0.5,0.2468,0.248,100.0,0.5,0,-100.5
11,MKT-2,2026-02-19T11:55:53.658575,2026-02-19T12:00:53.658575,5,1.0,0.2468,0.2493,100.0,0.5,1,-0.5
12,MKT-2,2026-02-19T11:55:53.658575,2026-02-19T12:00:53.658575,5,2.0,0.2468,0.2517,100.0,0.5,1,-0.5
13,MKT-2,2026-02-19T11:55:53.658575,2026-02-19T12:10:53.658575,15,0.5,0.2468,0.248,100.0,0.5,0,-100.5
14,MKT-2,2026-02-19T11:55:53.658575,2026-02-19T12:10:53.658575,15,1.0,0.2468,0.2493,100.0,0.5,0,-100.5
15,MKT-2,2026-02-19T11:55:53.658575,2026-02-19T12:10:53.658575,15,2.0,0.2468,0.2517,100.0,0.5,1,-0.5
16,MKT-2,2026-02-19T11:55:53.658575,2026-02-19T12:25:53.658575,30,0.5,0.2468,0.248,100.0,0.5,0,-100.5
17,MKT-2,2026-02-19T11:55:53.658575,2026-02-19T12:25:53.658575,30,1.0,0.2468,0.2493,100.0,0.5,0,-100.5
18,MKT-2,2026-02-19T11:55:53.658575,2026-02-19T12:25:53.658575,30,2.0,0.2468,0.2517,100.0,0.5,1,-0.5
